Price,Address,Status,Type,Style,Age,Area,Community,Bedrooms,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Air Conditioning,Fireplace,Handicap Equipped,Furnished,Laundry,Pets,Stories,Basement,Elevator,Energy Certificate,Heating,Green PIS,Exterior,Private Entrance,Central A/C Included,Garage,Cross Street,Water Included,Heating Included,Hydro Included,Municipality_District,Building Insurance Included,Bedroom Plus,Room Plus,Size,Age_cabecalho,Walk Score,Added
"$2,995",535 - 150 Logan Avenue,Lease,Condo Apt,Apartment,New,Toronto,South Riverdale,2,2,1,5,N,Terr,Central Air,N,Y,N,Ensuite,Restrict,5,None,Y,N,Gas,N,Brick,N,Y,1.0,Eastern And Logan,Y,Y,Ausente,Toronto E01,Y,0,0,600-699 sqft,New,92,"Jun 27, 2023 (7 days ago)"
"$2,900",6 Kay Mac Pherson Lane,Lease,Condo Townhouse,Stacked Townhse,Ausente,Toronto,South Riverdale,2,2,1,5,N,Terr,Central Air,N,N,N,Ensuite,Restrict,1,None,Ausente,N,Gas,Ausente,Brick,Y,Y,1.0,Broadview & Dundas,Y,Ausente,Ausente,Toronto E01,Y,0,0,800-899 sqft,No Data,97,"Jun 27, 2023 (7 days ago)"
"$2,680",204 - 36 Forest Manor Road,Lease,Condo Apt,Apartment,0-5,Toronto,Henry Farm,1,1,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,2,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Ausente,0.0,Sheppard/Don Mills,Ausente,Ausente,Ausente,Toronto C15,Y,1,0,600-699 sqft,0-5 years,46,"Jun 27, 2023 (7 days ago)"
"$2,750",1512 - 115 Mcmahon Drive,Lease,Condo Apt,Apartment,Ausente,Toronto,Bayview Village,1,1,1,5,Y,Open,Central Air,N,N,N,Ensuite,Restrict,15,None,Y,N,Gas,N,Concrete,Y,Ausente,1.0,Sheppard/ Leslie,Y,Y,Ausente,Toronto C15,Ausente,1,0,600-699 sqft,No Data,38,"Jun 27, 2023 (7 days ago)"
"$7,200",4507 - 88 Scott Street,Lease,Condo Apt,Apartment,0-5,Toronto,Church-Yonge Corridor,2,2,1,6,Y,Open,Central Air,N,N,N,Ensuite,Restrict,45,None,Ausente,N,Gas,Ausente,Brick,N,Ausente,1.0,Yonge & Wellington,Ausente,Ausente,Ausente,Toronto C08,Ausente,0,0,1400-1599 sqft,0-5 years,100,"Jun 27, 2023 (7 days ago)"
"$5,000",3007 - 488 University Avenue,Lease,Co-Op Apt,Apartment,0-5,Toronto,University,2,2,1,5,N,Open,Central Air,N,N,N,Ensuite,Restrict,13,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Dundas & University Ave,Ausente,Y,Ausente,Toronto C01,Y,1,0,900-999 sqft,0-5 years,99,"Jun 27, 2023 (7 days ago)"
"$4,200",701 - 18 Hollywood Avenue,Lease,Condo Apt,Apartment,16-30,Toronto,Willowdale East,2,2,1,8,N,Open,Central Air,N,Ausente,N,Ensuite,N,7,None,Ausente,Ausente,Gas,Ausente,Brick,N,Y,1.0,Yonge / Sheppard,Y,Y,Y,Toronto C14,Y,1,0,1200-1399 sqft,16-30 years,99,"Jun 27, 2023 (7 days ago)"
"$3,550",809 - 20 O'neill Road,Lease,Condo Apt,Apartment,New,Toronto,Banbury-Don Mills,2,2,1,6,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,8,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Don Mills/Lawrence,Y,Y,Ausente,Toronto C13,Y,1,0,800-899 sqft,New,66,"Jun 27, 2023 (7 days ago)"
"$2,950",508 - 25 Telegram Mews,Lease,Condo Apt,Apartment,Ausente,Toronto,Waterfront Communities C1,1,1,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,4,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Ausente,1.0,Spadina Ave/Fort York Blvd,Y,Y,Ausente,Toronto C01,Y,1,0,600-699 sqft,No Data,95,"Jun 27, 2023 (7 days ago)"
"$2,450",Ph207 - 87 Peter Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Waterfront Communities C1,1,1,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,48,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Ausente,0.0,Peter & Adelaide,Y,Y,Ausente,Toronto C01,Y,0,0,0-499 sqft,No Data,99,"Jun 27, 2023 (7 days ago)"
"$2,995",807 - 22 Wellesley Street E,Lease,Condo Apt,Apartment,Ausente,Toronto,Church-Yonge Corridor,1,1,1,5,N,Open,Central Air,N,Ausente,Y,Ensuite,Restrict,8,None,Ausente,N,Gas,N,Concrete,N,Y,0.0,Yonge / Wellesley,Y,Y,Ausente,Toronto C08,Y,0,0,500-599 sqft,No Data,98,"Jun 27, 2023 (7 days ago)"
"$6,500",405 - 993 Queen Street W,Lease,Condo Apt,Loft,Ausente,Toronto,Trinity-Bellwoods,2,2,1,6,Y,Jlte,Central Air,N,Ausente,Y,Ensuite,Restrict,4,None,Y,Ausente,Gas,Ausente,Brick,N,Y,1.0,Queen & Shaw,Y,Y,Ausente,Toronto C01,Y,0,0,1600-1799 sqft,No Data,96,"Jun 27, 2023 (7 days ago)"
"$2,750",3016 - 19 Western Battery Road,Lease,Condo Apt,Apartment,0-5,Toronto,Niagara,1,1,1,4,Y,Open,Central Air,N,Ausente,N,Ensuite,Restrict,30,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Ausente,0.0,King W/Strachan Ave,Ausente,Ausente,Ausente,Toronto C01,Ausente,1,0,600-699 sqft,0-5 years,93,"Jun 27, 2023 (7 days ago)"
"$849,000",1225 - 251 Jarvis Street,Sale,Condo Apt,Apartment,0-5,Toronto,Church-Yonge Corridor,2,2,1,5,N,Open,Central Air,N,N,Ausente,Ausente,Restrict,12,None,Y,N,Gas,Ausente,Concrete,Ausente,Ausente,1.0,Dundas St E / Jarvis St,Ausente,Ausente,Ausente,Toronto C08,Y,0,0,700-799 sqft,0-5 years,99,"Jun 9, 2023 (24 days ago)"
$280,11 Wellesley Street W,Lease,Condo Apt,Apartment,Ausente,Toronto,Bay Street Corridor,0,0,0,0,N,None,Central Air,N,N,N,None,Restrict,C,None,Ausente,N,Gas,N,Concrete,N,Ausente,0.0,Yonge X Wellesley,Ausente,Ausente,Ausente,Toronto C01,Ausente,0,0,700-799 sqft,No Data,97,"Jun 27, 2023 (7 days ago)"
"$2,800",3620 - 585 Bloor Street E,Lease,Condo Apt,Apartment,Ausente,Toronto,North St. James Town,1,2,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,36,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Ausente,0.0,Bloor E / Parliament,Ausente,Ausente,Ausente,Toronto C08,Y,1,0,600-699 sqft,No Data,71,"Jun 27, 2023 (7 days ago)"
"$4,400",108A - 245 Carlaw Avenue,Lease,Condo Apt,Loft,Ausente,Toronto,South Riverdale,2,1,1,5,Y,None,Window Unit,N,Ausente,N,Ensuite,N,1,None,Ausente,N,Gas,N,Brick,N,Ausente,1.0,Queen St & Carlaw Ave,Y,Y,Ausente,Toronto E01,Y,0,0,1200-1399 sqft,No Data,99,"Jun 27, 2023 (7 days ago)"
"$3,550",1807 - 9 Bogert Avenue,Lease,Condo Apt,Apartment,Ausente,Toronto,Lansing-Westgate,2,2,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,N,18,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Yonge St/ Sheppard Ave W,Y,Y,Ausente,Toronto C07,Y,0,0,800-899 sqft,No Data,79,"Jun 27, 2023 (7 days ago)"
"$2,650",304 - 1 Balmoral Avenue,Lease,Condo Apt,Apartment,Ausente,Toronto,Yonge-St. Clair,1,1,1,4,N,Jlte,Central Air,N,Ausente,N,Ensuite,Restrict,3,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Y,1.0,Yonge/St. Clair,Y,Y,Y,Toronto C02,Y,0,0,0-499 sqft,No Data,93,"Jun 27, 2023 (7 days ago)"
