Price,Address,Status,Type,Style,Age,Area,Community,Bedrooms,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Air Conditioning,Fireplace,Handicap Equipped,Furnished,Laundry,Pets,Stories,Basement,Elevator,Energy Certificate,Heating,Green PIS,Exterior,Private Entrance,Central A/C Included,Garage,Cross Street,Water Included,Heating Included,Hydro Included,Municipality_District,Building Insurance Included,Bedroom Plus,Room Plus,Size,Age_cabecalho,Walk Score,Added
"$3,400",1915 - 188 Fairview Mall Drive,Lease,Condo Apt,Apartment,New,Toronto,Don Valley Village,2,2,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,N,16,None,Y,N,Gas,N,Concrete,N,Y,1.0,Don Mills / Sheppard,Ausente,Ausente,Ausente,Toronto C15,Y,0,0,700-799 sqft,New,54,"Jun 22, 2023 (10 days ago)"
"$2,150",1906 - 188 Fairview Mall Drive,Lease,Condo Apt,Bachelor/Studio,New,Toronto,Don Valley Village,0,1,1,2,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,16,None,Ausente,N,Gas,N,Concrete,Y,Y,0.0,Sheppard Ave E & Don Mills Rd,Ausente,Ausente,Ausente,Toronto C15,Y,0,0,0-499 sqft,New,57,"Jun 21, 2023 (10 days ago)"
"$3,300",307 - 115 Blue Jays Way,Lease,Condo Apt,Apartment,New,Toronto,Waterfront Communities C1,2,1,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,3,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Ausente,0.0,King / Blue Jays,Ausente,Ausente,Ausente,Toronto C01,Y,0,0,600-699 sqft,New,98,"Jun 21, 2023 (10 days ago)"
"$4,200",107 - 110 Canon Jackson Drive,Lease,Condo Townhouse,3-Storey,New,Toronto,Beechborough-Greenbrook,3,4,1,7,Y,Terr,Central Air,N,Ausente,N,Ensuite,N,01,None,N,Ausente,Gas,Ausente,Brick,Y,Y,1.0,Keele St & Eglinton Ave W.,Y,Ausente,Ausente,Toronto W04,Y,0,0,1600-1799 sqft,New,14,"Jun 21, 2023 (10 days ago)"
"$3,700",713 - 246 Logan Avenue,Lease,Condo Apt,2-Storey,0-5,Toronto,South Riverdale,2,2,1,5,N,Terr,Central Air,N,Ausente,N,Ensuite,N,7,None,Ausente,Ausente,Gas,Ausente,Brick,N,Y,1.0,Queen/Logan/Eastern,Y,Y,Ausente,Toronto E01,Y,0,0,900-999 sqft,0-5 years,98,"Jun 21, 2023 (10 days ago)"
"$2,650",314W - 27 Bathurst Street,Lease,Comm Element Condo,Apartment,0-5,Toronto,Waterfront Communities C1,1,22,1,3,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,3,None,Y,Ausente,Gas,Ausente,Concrete,Y,Y,0.0,Front St And Bathurst St,Ausente,Ausente,Ausente,Toronto C01,Y,1,0,600-699 sqft,0-5 years,94,"Jun 21, 2023 (10 days ago)"
"$2,600",602 - 2 Glamorgan Avenue,Lease,Condo Apt,Multi-Level,Ausente,Toronto,Dorset Park,2,1,1,5,N,Open,Window Unit,N,Ausente,N,Coin Operated,N,6,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Ausente,1.0,Kennedy Road / Highway 401,Y,Y,Ausente,Toronto E04,Y,0,0,1000-1199 sqft,No Data,60,"Jun 21, 2023 (10 days ago)"
"$2,770",313 - 1195 The Queensway Street,Lease,Condo Apt,Multi-Level,New,Toronto,Islington-City Centre West,1,1,1,5,N,None,Central Air,N,Ausente,N,Ensuite,Restrict,3,None,Y,Ausente,Gas,Ausente,Concrete,Y,Y,1.0,Kipling & The Queensway,Ausente,Ausente,Ausente,Toronto W08,Y,1,0,500-599 sqft,New,28,"Jun 21, 2023 (10 days ago)"
"$3,300",211 - 1765 Queen Street E,Lease,Condo Apt,Apartment,Ausente,Toronto,The Beaches,2,2,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,2,None,Y,Ausente,Gas,Ausente,Brick,N,Y,1.0,Queen & Woodbine,Y,Ausente,Ausente,Toronto E02,Y,0,0,900-999 sqft,No Data,95,"Jun 21, 2023 (10 days ago)"
"$2,250",5413 - 197 Yonge Street,Lease,Condo Apt,Bachelor/Studio,Ausente,Toronto,Church-Yonge Corridor,0,1,1,3,N,None,Central Air,N,Ausente,N,Ensuite,N,54,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Ausente,0.0,Yonge/Queen,Ausente,Ausente,Ausente,Toronto C08,Y,0,0,0-499 sqft,No Data,100,"Jun 21, 2023 (10 days ago)"
"$3,700",8 - 260 Twelfth Street,Lease,Comm Element Condo,3-Storey,New,Toronto,New Toronto,3,3,1,7,N,Open,Central Air,N,Ausente,N,Ensuite,N,Blo,None,Ausente,Ausente,Gas,Ausente,Brick,Y,Ausente,1.0,Lakeshore/Twelfth St,Ausente,Ausente,Ausente,Toronto W06,Ausente,0,0,1200-1399 sqft,New,34,"Jun 21, 2023 (10 days ago)"
"$3,600",602 - 28 Wellesley Street E,Lease,Condo Apt,Apartment,New,Toronto,Church-Yonge Corridor,2,1,1,2,N,Open,Central Air,N,N,N,Ensuite,N,06,None,Ausente,N,Gas,Ausente,Concrete,N,Y,0.0,Yonge/Wellesley,Y,Y,Ausente,Toronto C08,Y,0,0,600-699 sqft,New,98,"Jun 21, 2023 (10 days ago)"
"$3,700",1319 - 38 Cameron Street,Lease,Condo Apt,Apartment,0-5,Toronto,Kensington-Chinatown,2,2,1,5,N,Terr,Central Air,N,Ausente,N,Ensuite,Restrict,13,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Queen/Spadina,Ausente,Y,Ausente,Toronto C01,Y,0,0,800-899 sqft,0-5 years,99,"Jun 21, 2023 (10 days ago)"
"$2,995",30 - 325 Jarvis Street,Lease,Condo Townhouse,3-Storey,16-30,Toronto,Moss Park,2,1,1,5,N,Jlte,Central Air,N,N,N,Ensuite,Restrict,01,None,N,Ausente,Gas,Ausente,Brick,Y,Ausente,1.0,Jarvis & Gerard,Y,Ausente,Ausente,Toronto C08,Y,0,0,1000-1199 sqft,16-30 years,98,"Jun 21, 2023 (10 days ago)"
"$3,500",802 - 9 Valhalla Inn Road,Lease,Condo Apt,Apartment,6-10,Toronto,Islington-City Centre West,2,2,1,5,N,Open,Central Air,N,Ausente,Y,Ensuite,Restrict,8,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Bloor/The East Mall,Y,Y,Ausente,Toronto W08,Y,0,0,800-899 sqft,6-10 years,19,"Jun 21, 2023 (10 days ago)"
"$3,000",1104 - 80 Alton Towers Circle,Lease,Condo Apt,Apartment,Ausente,Toronto,Milliken,2,2,1,5,N,None,Central Air,N,Ausente,N,Ensuite,N,12,None,Y,Ausente,Gas,N,Brick,Y,Y,1.0,Mccowan Rd & Alton Towers Circ,Y,Y,Y,Toronto E07,Y,1,0,1200-1399 sqft,No Data,23,"Jun 21, 2023 (10 days ago)"
